id,village,village_trt,host,arm,trt,spillover_control,coaching_individual,coaching_group,no_asset,coach,group,village_variation,coach_variation,group_variation,sigma,y
1,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,-1.5056114220617485,-0.7737492989944129
2,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,0.4503136742707122,1.1821757973380478
3,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,0.5403941879830061,1.2722563110503415
4,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,-0.5921154063071788,0.1397467167601567
5,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,1.094465387105823,1.8263275101731584
6,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,-1.3012592295694463,-0.5693971065021107
7,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,-0.8040424855832499,-0.07218036251591431
8,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,0.10120977833468185,0.8330719014020174
9,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,2.31951171980473,3.0513738428720654
10,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,-0.6737359926644982,0.05812613040283732
11,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,1.5778007328471972,2.309662855914533
12,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,-0.4187693092903249,0.31309281377701065
13,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,0.6149806568846442,1.3468427799519798
14,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,-0.5587938668410466,0.17306825622628896
15,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,-1.1281100997837243,-0.3962479767163888
16,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,-0.8512303711389494,-0.11936824807161384
17,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,0.6003244690717668,1.3321865921391023
18,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,0.3076541433437969,1.0395162664111326
19,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,-0.3673919488733922,0.36447017419394334
20,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,0.8015996262559355,1.533461749323271
21,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,0.13335225939148254,0.8652143824588181
22,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,-0.41933281415814844,0.3125293089091871
23,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,-1.4385680748155072,-0.7067059517481716
24,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,1.9550192878885204,2.686881410955856
25,v_1,1,1,1,1,0,1,0,0,c_1,g_1,-0.1409380280204364,0.17532243287598145,-0.1325222817882096,0.4842673731677663,1.216129496235102
26,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,-0.6808447688305294,-0.04765559285684262
27,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,0.037954874364427446,0.6711440503381142
28,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,-0.12603335633344986,0.5071558196402368
29,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,0.2751030169852208,0.9082921929589076
30,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,0.2524993784869635,0.8856885544606503
31,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,0.42695307656846987,1.0601422525421567
32,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,-0.1716414944533043,0.46154768152038245
33,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,-0.30805304388603966,0.3251361320876471
34,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,1.4561616869018397,2.089350862875526
35,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,-0.23481576736736715,0.3983734086063196
36,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,0.6606017426792504,1.2937909186529373
37,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,0.5117389576883616,1.1449281336620483
38,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,-0.3450908084061174,0.28809836756756935
39,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,-0.6193343462893415,0.01385482968434526
40,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,-0.05702953351862757,0.5761596424550591
41,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,0.46578160355021364,1.0989707795239003
42,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,-0.1402282736722256,0.49296090230146117
43,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,0.865496933211087,1.4986861091847739
44,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,0.7186044580955541,1.351793634069241
45,v_1,1,1,1,1,0,1,0,0,c_2,g_2,-0.1409380280204364,-0.2744524531691033,0.21857965716322636,0.563387545457757,1.1965767214314438
